Accession,Title,"Sample Type",Taxonomy,Channels,Platform,Series,"Supplementary Types","Supplementary Links","SRA Accession",Contact,"Release Date"
GSM1433164,young_C57BL6_LTHSC_1,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649369,SRX649369,"Monika Sylwia Kowalczyk","Sep 30, 2015"
GSM1433165,young_C57BL6_LTHSC_2,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649370,SRX649370,"Monika Sylwia Kowalczyk","Sep 30, 2015"
GSM1433166,young_C57BL6_LTHSC_3,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649371,SRX649371,"Monika Sylwia Kowalczyk","Sep 30, 2015"
GSM1433167,young_C57BL6_LTHSC_4,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649372,SRX649372,"Monika Sylwia Kowalczyk","Sep 30, 2015"
GSM1433168,young_C57BL6_LTHSC_5,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649373,SRX649373,"Monika Sylwia Kowalczyk","Sep 30, 2015"
GSM1433169,young_C57BL6_LTHSC_6,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649374,SRX649374,"Monika Sylwia Kowalczyk","Sep 30, 2015"
GSM1433170,young_C57BL6_LTHSC_7,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649375,SRX649375,"Monika Sylwia Kowalczyk","Sep 30, 2015"
GSM1433171,young_C57BL6_LTHSC_8,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649376,SRX649376,"Monika Sylwia Kowalczyk","Sep 30, 2015"
GSM1433172,young_C57BL6_LTHSC_9,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649377,SRX649377,"Monika Sylwia Kowalczyk","Sep 30, 2015"
GSM1433173,young_C57BL6_LTHSC_10,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649378,SRX649378,"Monika Sylwia Kowalczyk","Sep 30, 2015"
GSM1433174,young_C57BL6_LTHSC_11,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649379,SRX649379,"Monika Sylwia Kowalczyk","Sep 30, 2015"
GSM1433175,young_C57BL6_LTHSC_12,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649380,SRX649380,"Monika Sylwia Kowalczyk","Sep 30, 2015"
GSM1433176,young_C57BL6_LTHSC_13,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649381,SRX649381,"Monika Sylwia Kowalczyk","Sep 30, 2015"
GSM1433177,young_C57BL6_LTHSC_14,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649382,SRX649382,"Monika Sylwia Kowalczyk","Sep 30, 2015"
GSM1433178,young_C57BL6_LTHSC_15,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649383,SRX649383,"Monika Sylwia Kowalczyk","Sep 30, 2015"
GSM1433179,young_C57BL6_LTHSC_16,SRA,"Mus musculus",1,GPL13112,GSE59114,"SRA Run Selector",https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX649384,SRX649384,"Monika Sylwia Kowalczyk","Sep 30, 2015"
