Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,gender,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR2013442,RNA-Seq,202,351478788,PRJNA269154,SAMN03612159,228376566,GEO,public,"sra,fastq",s3,s3.us-east-1,4 week gestation,SRX1021247,male,GSM1677473,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677473,Primordial Germ Cells,SRP050499
SRR2013443,RNA-Seq,202,747414544,PRJNA269154,SAMN03612160,482789224,GEO,public,"fastq,sra",s3,s3.us-east-1,4 week gestation,SRX1021248,male,GSM1677474,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677474,Primordial Germ Cells,SRP050499
SRR2013444,RNA-Seq,202,402880718,PRJNA269154,SAMN03612161,259335629,GEO,public,"sra,fastq",s3,s3.us-east-1,4 week gestation,SRX1021249,male,GSM1677475,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677475,Primordial Germ Cells,SRP050499
SRR2013445,RNA-Seq,202,354052874,PRJNA269154,SAMN03612162,230122897,GEO,public,"sra,fastq",s3,s3.us-east-1,4 week gestation,SRX1021250,male,GSM1677476,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677476,Primordial Germ Cells,SRP050499
SRR2013446,RNA-Seq,202,413453802,PRJNA269154,SAMN03612163,267085639,GEO,public,"sra,fastq",s3,s3.us-east-1,4 week gestation,SRX1021251,male,GSM1677477,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677477,Primordial Germ Cells,SRP050499
SRR2013447,RNA-Seq,202,793024124,PRJNA269154,SAMN03612164,512561133,GEO,public,"fastq,sra",s3,s3.us-east-1,4 week gestation,SRX1021252,male,GSM1677478,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677478,Primordial Germ Cells,SRP050499
SRR2013448,RNA-Seq,202,519299176,PRJNA269154,SAMN03612165,350751559,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021253,male,GSM1677479,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677479,Primordial Germ Cells,SRP050499
SRR2013449,RNA-Seq,202,552435256,PRJNA269154,SAMN03612166,372318984,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021254,male,GSM1677480,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677480,Primordial Germ Cells,SRP050499
SRR2013450,RNA-Seq,202,603078878,PRJNA269154,SAMN03612167,409457723,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021255,male,GSM1677481,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677481,Primordial Germ Cells,SRP050499
SRR2013451,RNA-Seq,202,695229864,PRJNA269154,SAMN03612168,469792103,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021256,male,GSM1677482,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677482,Primordial Germ Cells,SRP050499
SRR2013452,RNA-Seq,202,669370632,PRJNA269154,SAMN03612169,456660351,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021257,male,GSM1677483,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677483,Primordial Germ Cells,SRP050499
SRR2013453,RNA-Seq,202,858102464,PRJNA269154,SAMN03612170,585776723,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021258,male,GSM1677484,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677484,Primordial Germ Cells,SRP050499
SRR2013454,RNA-Seq,202,527911446,PRJNA269154,SAMN03612171,347838845,GEO,public,"sra,fastq",s3,s3.us-east-1,7 week gestation,SRX1021259,male,GSM1677485,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677485,Primordial Germ Cells,SRP050499
SRR2013455,RNA-Seq,202,560907338,PRJNA269154,SAMN03612172,361934363,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021260,male,GSM1677486,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677486,Primordial Germ Cells,SRP050499
SRR2013456,RNA-Seq,202,558997832,PRJNA269154,SAMN03612173,371032035,GEO,public,"sra,fastq",s3,s3.us-east-1,7 week gestation,SRX1021261,male,GSM1677487,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677487,Primordial Germ Cells,SRP050499
SRR2013457,RNA-Seq,202,764395472,PRJNA269154,SAMN03612174,504476939,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021262,male,GSM1677488,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677488,Primordial Germ Cells,SRP050499
SRR2013458,RNA-Seq,202,709096962,PRJNA269154,SAMN03612175,469500878,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021263,male,GSM1677489,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677489,Primordial Germ Cells,SRP050499
