Sample Name,Title
GSM1677473,M_PGC_4W_embryo3_sc1
GSM1677474,M_PGC_4W_embryo3_sc2
GSM1677475,M_PGC_4W_embryo3_sc3
GSM1677476,M_PGC_4W_embryo3_sc4
GSM1677477,M_PGC_4W_embryo3_sc5
GSM1677478,M_PGC_4W_embryo3_sc6
GSM1677479,M_PGC_7W_embryo1_sc1
GSM1677480,M_PGC_7W_embryo1_sc2
GSM1677481,M_PGC_7W_embryo1_sc3
GSM1677482,M_PGC_7W_embryo1_sc4
GSM1677483,M_PGC_7W_embryo1_sc5
GSM1677484,M_PGC_7W_embryo1_sc6
GSM1677485,M_PGC_7W_embryo1_sc7
GSM1677486,M_PGC_7W_embryo1_sc8
GSM1677487,M_PGC_7W_embryo1_sc9
GSM1677488,M_PGC_7W_embryo1_sc10
GSM1677489,M_PGC_7W_embryo1_sc11
GSM1677490,M_PGC_7W_embryo1_sc12
GSM1677491,M_PGC_7W_embryo1_sc13
GSM1677492,M_PGC_7W_embryo1_sc14
GSM1677493,M_PGC_7W_embryo1_sc15
GSM1677494,M_PGC_7W_embryo1_sc16
GSM1677495,M_PGC_7W_embryo2_sc1
GSM1677496,M_PGC_7W_embryo2_sc2
GSM1677497,M_PGC_7W_embryo2_sc3
GSM1677498,M_PGC_7W_embryo2_sc4
GSM1677499,M_PGC_7W_embryo2_sc5
GSM1677500,M_PGC_7W_embryo2_sc6
GSM1677501,M_PGC_7W_embryo2_sc7
GSM1677502,M_PGC_7W_embryo2_sc8
GSM1677503,M_PGC_7W_embryo2_sc9
GSM1677504,M_PGC_7W_embryo2_sc10
GSM1677505,M_PGC_7W_embryo3_sc1
GSM1677506,M_PGC_7W_embryo3_sc2
GSM1677507,M_PGC_7W_embryo3_sc3
GSM1677508,M_PGC_7W_embryo3_sc4
GSM1677509,M_PGC_7W_embryo3_sc5
GSM1677510,M_PGC_7W_embryo3_sc6
GSM1677511,M_PGC_7W_embryo3_sc7
GSM1677512,M_PGC_7W_embryo3_sc8
GSM1677513,M_PGC_7W_embryo3_sc9
GSM1677514,M_PGC_7W_embryo3_sc10
GSM1677515,M_PGC_7W_embryo3_sc11
GSM1677516,M_PGC_7W_embryo3_sc12
GSM1677517,M_PGC_7W_embryo3_sc13
GSM1677518,M_PGC_10W_embryo1_sc1
GSM1677519,M_PGC_10W_embryo1_sc2
GSM1677520,M_PGC_10W_embryo1_sc3
GSM1677521,M_PGC_10W_embryo1_sc4
GSM1677522,M_PGC_10W_embryo1_sc5
GSM1677523,M_PGC_10W_embryo1_sc6
GSM1677524,M_PGC_10W_embryo1_sc7
