Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,source_name,STAGE,Tissue
SRR2967100,RNA-Seq,192,470904000,PRJNA304502,SAMN04304150,366987762,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456546,GSM1957048,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957048,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967101,RNA-Seq,192,583552320,PRJNA304502,SAMN04304151,454719778,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456547,GSM1957049,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957049,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967102,RNA-Seq,192,633418560,PRJNA304502,SAMN04304152,493710166,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456548,GSM1957050,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957050,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967103,RNA-Seq,192,498423552,PRJNA304502,SAMN04304153,389430192,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456549,GSM1957051,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957051,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967104,RNA-Seq,192,508977984,PRJNA304502,SAMN04304154,397993684,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456550,GSM1957052,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957052,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967105,RNA-Seq,192,446561664,PRJNA304502,SAMN04304155,348170596,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456551,GSM1957053,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957053,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967106,RNA-Seq,192,532674432,PRJNA304502,SAMN04304156,416413251,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456552,GSM1957054,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957054,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967107,RNA-Seq,192,560249472,PRJNA304502,SAMN04304157,435397908,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456553,GSM1957055,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957055,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967108,RNA-Seq,192,473349696,PRJNA304502,SAMN04304158,369518683,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456554,GSM1957056,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957056,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967109,RNA-Seq,192,601294080,PRJNA304502,SAMN04304159,467466974,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456555,GSM1957057,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957057,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
