Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR4455090,RNA-Seq,50,4060900,PRJNA350790,SAMN05947000,2684834,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271641,GSM2361495,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361495,Blood Dendritic Cells,SRP092166
SRR4455091,RNA-Seq,50,4084550,PRJNA350790,SAMN05947000,2701969,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271641,GSM2361495,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361495,Blood Dendritic Cells,SRP092166
SRR4455092,RNA-Seq,50,7140850,PRJNA350790,SAMN05946997,4588878,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271642,GSM2361496,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361496,Blood Dendritic Cells,SRP092166
SRR4455093,RNA-Seq,50,7192850,PRJNA350790,SAMN05946997,4633665,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271642,GSM2361496,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361496,Blood Dendritic Cells,SRP092166
SRR4455094,RNA-Seq,50,6652850,PRJNA350790,SAMN05946995,4265224,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271643,GSM2361497,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361497,Blood Dendritic Cells,SRP092166
SRR4455095,RNA-Seq,50,6670900,PRJNA350790,SAMN05946995,4279090,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271643,GSM2361497,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361497,Blood Dendritic Cells,SRP092166
SRR4455096,RNA-Seq,50,5971100,PRJNA350790,SAMN05946992,3868512,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271644,GSM2361498,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361498,Blood Dendritic Cells,SRP092166
SRR4455097,RNA-Seq,50,6023450,PRJNA350790,SAMN05946992,3900874,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271644,GSM2361498,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361498,Blood Dendritic Cells,SRP092166
SRR4455098,RNA-Seq,50,5823500,PRJNA350790,SAMN05946989,3667549,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271645,GSM2361499,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361499,Blood Dendritic Cells,SRP092166
SRR4455099,RNA-Seq,50,5893700,PRJNA350790,SAMN05946989,3715507,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271645,GSM2361499,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361499,Blood Dendritic Cells,SRP092166
