Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2361495,"CD1c+ cDC_S1","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271641",SRX2271641,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361496,"CD1c+ cDC_S2","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271642",SRX2271642,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361497,"CD1c+ cDC_S3","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271643",SRX2271643,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361498,"CD1c+ cDC_S4","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271644",SRX2271644,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361499,"CD1c+ cDC_S5","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271645",SRX2271645,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361500,"CD1c+ cDC_S6","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271646",SRX2271646,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361501,"CD1c+ cDC_S7","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271647",SRX2271647,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361502,"CD1c+ cDC_S8","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271648",SRX2271648,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361503,"CD1c+ cDC_S9","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271649",SRX2271649,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361504,"CD1c+ cDC_S10","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271650",SRX2271650,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361505,"CD1c+ cDC_S11","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271651",SRX2271651,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361506,"CD1c+ cDC_S12","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271652",SRX2271652,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361507,"CD1c+ cDC_S13","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271653",SRX2271653,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361508,"CD1c+ cDC_S14","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271654",SRX2271654,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361509,"CD1c+ cDC_S15","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271655",SRX2271655,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361510,"CD1c+ cDC_S16","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271656",SRX2271656,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361511,"CD1c+ cDC_S17","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271657",SRX2271657,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361512,"CD1c+ cDC_S18","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271658",SRX2271658,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361513,"CD1c+ cDC_S19","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271659",SRX2271659,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361514,"CD1c+ cDC_S20","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271660",SRX2271660,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361515,"CD1c+ cDC_S21","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271661",SRX2271661,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361516,"CD1c+ cDC_S22","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271662",SRX2271662,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361517,"CD1c+ cDC_S23","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271663",SRX2271663,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361518,"CD1c+ cDC_S24","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271664",SRX2271664,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361519,"CD1c+ cDC_S25","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271665",SRX2271665,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361520,"CD1c+ cDC_S26","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271666",SRX2271666,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361521,"CD1c+ cDC_S27","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271667",SRX2271667,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361522,"CD1c+ cDC_S28","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271668",SRX2271668,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361523,"CD1c+ cDC_S29","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271669",SRX2271669,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361524,"CD1c+ cDC_S30","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271670",SRX2271670,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361525,"CD1c+ cDC_S31","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271671",SRX2271671,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361526,"CD1c+ cDC_S32","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271672",SRX2271672,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361527,"CD1c+ cDC_S33","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271673",SRX2271673,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361528,"CD1c+ cDC_S34","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271674",SRX2271674,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361529,"CD1c+ cDC_S35","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271675",SRX2271675,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361530,"CD1c+ cDC_S36","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271676",SRX2271676,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361531,"CD1c+ cDC_S37","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271677",SRX2271677,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361532,"CD1c+ cDC_S38","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271678",SRX2271678,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361533,"CD1c+ cDC_S39","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271679",SRX2271679,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361534,"CD1c+ cDC_S40","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271680",SRX2271680,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361535,"CD1c+ cDC_S41","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271681",SRX2271681,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361536,"CD1c+ cDC_S42","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271682",SRX2271682,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361537,"CD1c+ cDC_S43","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271683",SRX2271683,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361538,"CD1c+ cDC_S44","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271684",SRX2271684,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361539,"CD1c+ cDC_S45","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271685",SRX2271685,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361540,"CD1c+ cDC_S46","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271686",SRX2271686,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361541,"CD1c+ cDC_S47","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271687",SRX2271687,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361542,"CD1c+ cDC_S48","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271688",SRX2271688,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361543,"CD1c+ cDC_S49","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271689",SRX2271689,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361544,"CD1c+ cDC_S50","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271690",SRX2271690,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361545,"CD1c+ cDC_S51","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271691",SRX2271691,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361546,"CD1c+ cDC_S52","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271692",SRX2271692,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361547,"CD1c+ cDC_S53","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271693",SRX2271693,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361548,"CD1c+ cDC_S54","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271694",SRX2271694,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361549,"CD1c+ cDC_S55","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271695",SRX2271695,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361550,"CD1c+ cDC_S56","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271696",SRX2271696,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361551,"CD1c+ cDC_S57","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271697",SRX2271697,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361552,"CD1c+ cDC_S58","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271698",SRX2271698,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361553,"CD1c+ cDC_S59","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271699",SRX2271699,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361554,"CD1c+ cDC_S60","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271700",SRX2271700,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361555,"CD1c+ cDC_S61","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271701",SRX2271701,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361556,"CD1c+ cDC_S62","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271702",SRX2271702,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361557,"CD1c+ cDC_S63","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271703",SRX2271703,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361558,"CD1c+ cDC_S64","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271704",SRX2271704,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361559,"CD1c+ cDC_S65","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271705",SRX2271705,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361560,"CD1c+ cDC_S66","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271706",SRX2271706,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361561,"CD1c+ cDC_S67","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271707",SRX2271707,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361562,"CD1c+ cDC_S68","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271708",SRX2271708,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361563,"CD1c+ cDC_S69","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271709",SRX2271709,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361564,"CD1c+ cDC_S70","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271710",SRX2271710,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361565,"CD1c+ cDC_S71","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271711",SRX2271711,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361566,"CD1c+ cDC_S72","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271712",SRX2271712,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361567,"CD1c+ cDC_S73","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271713",SRX2271713,"Thiago Y Oliveira","Nov 15, 2016"
GSM2361568,"CD1c+ cDC_S74","SRA","Homo sapiens",1,GPL16791,GSE89232,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2271714",SRX2271714,"Thiago Y Oliveira","Nov 15, 2016"
